192.168.0.155 - - [13/Sep/2018:23:18:43 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:23:18:51 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:18:51 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:18:55 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:19:00 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:19:05 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:23:19:08 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:19:08 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 107
192.168.0.155 - - [13/Sep/2018:23:19:11 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:19:11 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 159
192.168.0.155 - - [13/Sep/2018:23:19:15 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:19:15 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 107
192.168.0.155 - - [13/Sep/2018:23:19:20 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:19:20 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 107
192.168.0.155 - - [13/Sep/2018:23:19:23 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:23:19:23 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 159
192.168.0.155 - - [13/Sep/2018:23:19:26 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 159
192.168.0.155 - - [13/Sep/2018:23:19:28 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 159
192.168.0.155 - - [13/Sep/2018:23:19:32 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 159
